IRIS,DISP_MED21
920730116,34150.0
920750101,31830.0
920750102,25430.0
920750103,37000.0
920750104,31510.0
920750105,34500.0
920750106,31870.0
920750107,32780.0
920750108,30590.0
920750109,24630.0
920750110,31620.0
920750111,23600.0
920760101,54190.0
920760102,43670.0
920760103,37340.0
920760104,36470.0
920770101,
920770102,37220.0
920770103,31880.0
920770104,44480.0
920770105,39550.0
920770106,39580.0
920780101,
920780102,19870.0
920780103,24230.0
920780104,17470.0
920780105,16200.0
920780106,18080.0
920780107,18230.0
920780108,17880.0
920780109,18720.0
920780110,19020.0
930010101,14840.0
930010201,15690.0
930010202,16430.0
930010301,
930010302,14870.0
930010303,15480.0
930010304,13560.0
930010401,14920.0
930010402,15460.0
